Date,Close,High,Low,Open,Volume
8/13/21,423.9055786,423.9245808,423.0975361,423.591854,39470300
8/16/21,424.9037781,425.0368514,421.006183,422.5842348,73740000
8/17/21,422.1184387,422.9930035,419.0859218,422.3085476,92673900
8/18/21,417.498291,422.6792437,417.2511466,421.0916765,89351900
8/19/21,418.1446838,419.3615198,414.5893319,414.7319208,92812200
8/20/21,421.4719543,421.8046812,418.0021553,418.4965022,72008700
8/23/21,425.1794434,426.1015571,421.5480242,423.1831115,54973000
8/24/21,425.8544006,426.3962676,425.3315649,425.8544006,38744700
8/25/21,426.7479553,427.270791,425.6642216,426.0444974,40529700
8/26/21,424.2288208,426.7004395,424.1337518,426.4627816,57829600
8/27/21,428.0218201,428.4020669,424.9893034,425.0463389,77235100
8/30/21,429.9040833,430.7026102,428.4591048,428.7062783,48357400
8/31/21,429.2671814,430.1512618,428.6587923,429.8090483,59300200
9/1/21,429.4953003,430.7406252,429.2576424,430.2177895,48721400
9/2/21,430.8167114,431.6342406,429.5999042,430.9402982,42501000
9/3/21,430.7121582,431.235023,429.257693,429.6664866,47170500
9/7/21,429.1720886,430.4554469,428.4876328,430.360378,51671500
9/8/21,428.649231,429.3717201,426.7004191,428.6302288,56181900
9/9/21,426.8145447,430.2273083,426.5673712,428.449632,57970400
9/10/21,423.4493103,429.2006194,423.3257236,428.7728527,89948200
9/13/21,424.53302,426.7575234,422.184959,426.4913477,83738600
9/14/21,422.2420349,426.2061523,421.3389233,425.9970122,78197100
9/15/21,425.7688599,426.2726934,421.5480535,422.6697918,78792200
9/16/21,425.0938721,426.2250968,422.0993598,425.236461,77786700
9/17/21,420.9530334,424.7391324,420.5906315,424.3099952,118425000
9/20/21,413.9339905,416.3372461,408.9939213,414.7350757,166445500
9/21/21,413.5429688,417.6247052,413.0089119,416.3086263,92526100
9/22/21,417.5769653,419.6464571,413.6573671,415.8508124,102350100
9/23/21,422.6506042,424.281413,419.2364531,419.4748724,76396000
9/24/21,423.3467712,424.0715751,420.7718316,420.9911878,62094800
9/27/21,422.1356506,423.4803098,421.4299098,422.2977594,61371100
9/28/21,413.6287537,419.6559988,412.8848868,419.322206,130436300
9/29/21,414.3249817,416.7950016,413.7527697,415.0306934,82329200
9/30/21,409.2609863,416.5375178,408.9176475,415.82226,140506000
10/1/21,414.1246643,415.8317542,407.4394088,411.0156973,129240100
10/4/21,408.7841492,413.857689,406.6097375,412.9421672,128570000
10/5/21,413.0374756,415.3167483,409.4993424,410.3099445,90682500
10/6/21,414.7540588,414.9638689,407.7350111,409.3848535,113032200
10/7/21,418.3399658,421.2200599,417.9012825,418.0824835,72437500
10/8/21,417.5769653,419.5129574,416.9380181,419.1219464,74557400
10/11/21,414.553894,419.8658824,414.4871297,416.9094776,65233300
10/12/21,413.5334473,415.8985769,412.732362,415.4885027,71181200
10/13/21,415.0211487,415.850843,411.5497795,414.5729193,72974000
10/14/21,422.0020752,422.154667,418.2636485,418.740487,70236800
10/15/21,425.2159424,425.5878904,423.5183986,424.1478288,66260200
10/18/21,426.474823,426.8181328,422.7363963,423.4039819,62213200
10/19/21,429.7650452,429.8317804,427.5048061,428.1247195,46996800
10/20/21,431.4529724,431.758156,430.1178306,430.2322671,49571600
10/21/21,432.5783691,432.8072423,430.4039866,430.8426699,41305400
10/22/21,432.1300964,433.6083132,430.1559782,432.1396425,58845100
10/25/21,434.4475708,434.7813636,431.4339769,433.2364114,45214500
10/26/21,434.838623,437.2514251,434.457158,436.0212025,56075100
10/27/21,432.9120483,435.9828888,432.8357379,435.3057864,72438000
10/28/21,437.0892944,437.1655758,434.3522458,434.3617628,51437900
10/29/21,437.9760742,438.2717117,434.4570045,434.752642,70162400
11/1/21,438.7295837,439.3590141,436.9748215,438.97752,48433600
11/2/21,440.503418,440.8181477,438.7677188,438.9012475,48908400
11/3/21,443.1927795,443.6028537,439.482962,439.9311914,52509800
11/4/21,445.281311,445.3671385,443.4502385,443.8030943,52847100
11/5/21,446.8262939,448.8480846,445.2908879,447.5415517,66390600
11/8/21,447.2077942,448.4475919,446.5116285,447.9421442,50405200
11/9/21,445.7295837,447.8181388,444.2990682,447.5797195,51149100
